nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur,coor_frappe_x,coor_frappe_y,coor_frappe_z,time_frappe,premier_rebond_x,premier_rebond_y,premier_rebond_z,time_premier_rebond,probleme_annotation
FAN-ZHENDONG,13374,13409,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,m2,,,-6.239745712280273,54.37293764750163,2,FAN-ZHENDONG,TRULS-MOREGARD,55.02489700317383,-245.3270528157552,100,13397,44.13063545227051,-95.2537186940511,2,13400,
TRULS-MOREGARD,13410,13422,garcon,coup_droit,1,att/att,TRULS-MOREGARD,,defensif,g2,,poussette,53.24018249511719,-88.41501585642497,2,TRULS-MOREGARD,FAN-ZHENDONG,-3.653461456298828,18.87782834370931,100,13411,,,,,
FAN-ZHENDONG,13423,13435,garcon,revers,1,att/att,FAN-ZHENDONG,,offensif,m2,,flip,-23.480721473693848,86.32218386332194,2,FAN-ZHENDONG,TRULS-MOREGARD,68.31875076293946,-197.59774379730226,100,13429,,,,,
TRULS-MOREGARD,13436,13450,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,filet,bloc,,,,TRULS-MOREGARD,FAN-ZHENDONG,-67.83986134529114,80.728093846639,100,13438,,,,,
FAN-ZHENDONG,14063,14105,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,g2,,,-67.73405795097351,48.80764363606771,2,FAN-ZHENDONG,TRULS-MOREGARD,53.01465606689453,-267.73612848917645,100,14091,27.82887840270996,-105.5689294497172,2,14094,
TRULS-MOREGARD,14106,14124,garcon,revers,1,att/att,TRULS-MOREGARD,,defensif,d2,,poussette,-57.52802038192749,-63.98218027750651,2,TRULS-MOREGARD,FAN-ZHENDONG,-81.98408513069153,39.3081672668457,100,14108,,,,,
FAN-ZHENDONG,14125,14140,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,g2,,poussette,-56.08751888275147,77.37671267191568,2,FAN-ZHENDONG,TRULS-MOREGARD,-47.913224124908446,-190.82812611262003,100,14132,,,,,
TRULS-MOREGARD,14141,14163,garcon,coup_droit,1,att/att,serveur_point_pour,,intermediaire,,out,topspin,,,,TRULS-MOREGARD,FAN-ZHENDONG,-71.5340276002884,220.93330001831055,100,14149,,,,,
TRULS-MOREGARD,14719,14724,garcon,coup_droit,1,att/att,TRULS-MOREGARD,lat_droit,,g2,,,41.034379959106445,-64.50742429097494,2,TRULS-MOREGARD,FAN-ZHENDONG,-63.26987261772156,29.338443247477212,100,14719,-34.22129440307617,35.46399637858073,2,14720,
FAN-ZHENDONG,14725,14745,garcon,revers,1,att/att,serveur_point_pour,,defensif,,filet,poussette,,,,FAN-ZHENDONG,TRULS-MOREGARD,59.72916259765625,-154.64095673561096,100,14728,,,,,
TRULS-MOREGARD,15152,15160,garcon,coup_droit,1,att/att,TRULS-MOREGARD,lat_droit,,g2,,,48.10363616943359,-67.93441457748413,2,TRULS-MOREGARD,FAN-ZHENDONG,-71.33189702033997,96.54467862447103,100,15152,-21.912788772583006,60.9767344156901,2,15153,
FAN-ZHENDONG,15161,15174,garcon,revers,1,att/att,FAN-ZHENDONG,,defensif,m1,,poussette,0.5297073364257813,41.465254592895505,2,FAN-ZHENDONG,TRULS-MOREGARD,69.02000198364257,-158.17378279368083,100,15166,,,,,
TRULS-MOREGARD,15175,15192,garcon,coup_droit,1,att/att,TRULS-MOREGARD,,defensif,g3,,poussette,42.09143180847168,-91.80825837453206,2,TRULS-MOREGARD,FAN-ZHENDONG,-35.29510345458984,83.36595077514649,100,15182,,,,,
FAN-ZHENDONG,15193,15206,garcon,revers,1,att/att,FAN-ZHENDONG,,offensif,g2,,topspin,-32.69963607788086,64.31937052408854,2,FAN-ZHENDONG,TRULS-MOREGARD,69.4204933166504,-204.8452218691508,100,15200,,,,,
TRULS-MOREGARD,15207,15214,garcon,revers,1,att/att,TRULS-MOREGARD,,offensif,g3,,bloc,61.50416488647461,-112.57051568031311,2,TRULS-MOREGARD,FAN-ZHENDONG,-68.28266153335571,64.84315121968588,100,15209,,,,,
FAN-ZHENDONG,15215,15234,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,FAN-ZHENDONG,TRULS-MOREGARD,109.73758239746094,-308.72519505818684,100,15217,,,,,
FAN-ZHENDONG,15843,15885,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,d2,,,32.058549880981445,63.366175715128584,2,FAN-ZHENDONG,TRULS-MOREGARD,56.17549057006836,-263.9571013768514,100,15872,60.3514404296875,-91.86892509460449,2,15876,
TRULS-MOREGARD,15886,15898,garcon,coup_droit,1,att/att,TRULS-MOREGARD,,defensif,m3,,poussette,3.295522689819336,-102.0448245048523,2,TRULS-MOREGARD,FAN-ZHENDONG,32.03395042419434,34.62863349914551,100,15887,,,,,
FAN-ZHENDONG,15899,15912,garcon,revers,1,att/att,FAN-ZHENDONG,,intermediaire,g3,,topspin,-58.56417465209961,96.32727139790853,2,FAN-ZHENDONG,TRULS-MOREGARD,-23.43189945220947,-245.95246442159018,100,15904,,,,,
TRULS-MOREGARD,15913,15920,garcon,revers,1,att/att,TRULS-MOREGARD,,intermediaire,g3,,bloc,53.433702087402345,-129.9846761107445,2,TRULS-MOREGARD,FAN-ZHENDONG,-54.57701511383057,58.25299466451009,100,15914,,,,,
FAN-ZHENDONG,15921,15940,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,filet,topspin,,,,FAN-ZHENDONG,TRULS-MOREGARD,86.90847473144531,-271.15719146728514,100,15922,,,,,
FAN-ZHENDONG,16463,16501,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,g2,,,-39.79708671569824,54.84339434305827,2,FAN-ZHENDONG,TRULS-MOREGARD,61.54075241088867,-275.1693042119344,100,16487,29.881266021728514,-98.65839338302612,2,16491,
TRULS-MOREGARD,16502,16515,garcon,revers,1,att/att,TRULS-MOREGARD,,intermediaire,m3,,flip,9.299928283691406,-122.94899860223134,2,TRULS-MOREGARD,FAN-ZHENDONG,-64.48021535873413,-16.72700366973877,100,16506,,,,,
FAN-ZHENDONG,16516,16525,garcon,revers,1,att/att,FAN-ZHENDONG,,offensif,g2,,topspin,-57.979774475097656,80.57153625488282,2,FAN-ZHENDONG,TRULS-MOREGARD,44.587472152709964,-294.2762898763021,100,16519,,,,,
TRULS-MOREGARD,16526,16534,garcon,coup_droit,1,att/att,TRULS-MOREGARD,,intermediaire,g3,,topspin,31.9109676361084,-109.04472530682882,2,TRULS-MOREGARD,FAN-ZHENDONG,-105.13430757522583,140.65784174601237,100,16528,,,,,
FAN-ZHENDONG,16535,16545,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,filet,topspin,,,,FAN-ZHENDONG,TRULS-MOREGARD,68.17876434326172,-309.25249468485515,100,16536,,,,,
TRULS-MOREGARD,18673,18718,garcon,coup_droit,2,att/att,TRULS-MOREGARD,lat_droit,,g2,,,-42.833072090148924,51.680833435058595,2,TRULS-MOREGARD,FAN-ZHENDONG,-34.49206962585449,-268.577858543396,100,18707,-33.43482570648193,-88.10517571767171,2,18711,
FAN-ZHENDONG,18719,18745,garcon,revers,2,att/att,serveur_point_pour,,intermediaire,,out,topspin,,,,FAN-ZHENDONG,TRULS-MOREGARD,-51.83008966445923,48.59213523864746,100,18721,,,,,
TRULS-MOREGARD,19066,19072,garcon,coup_droit,2,att/att,TRULS-MOREGARD,lat_droit,,m3,,,-6.614253234863281,107.89694188435872,2,TRULS-MOREGARD,FAN-ZHENDONG,58.33564758300781,-271.4399340947469,100,19066,38.02697677612305,-91.79475317001342,2,19067,
FAN-ZHENDONG,19073,19081,garcon,revers,2,att/att,FAN-ZHENDONG,,intermediaire,g3,,topspin,34.97446975708008,-129.9751476685206,2,FAN-ZHENDONG,TRULS-MOREGARD,-7.115418243408203,63.942792638142905,100,19073,,,,,
TRULS-MOREGARD,19082,19092,garcon,coup_droit,2,att/att,TRULS-MOREGARD,,offensif,g3,,topspin,-50.572908115386966,102.44892234802246,2,TRULS-MOREGARD,FAN-ZHENDONG,50.250732421875,-383.6020904541016,100,19086,,,,,
FAN-ZHENDONG,19093,19100,garcon,revers,2,att/att,FAN-ZHENDONG,,intermediaire,g3,,topspin,70.5059715270996,-95.33468023935954,2,FAN-ZHENDONG,TRULS-MOREGARD,-62.5071897983551,58.366018549601236,100,19094,,,,,
TRULS-MOREGARD,19101,19120,garcon,revers,2,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,TRULS-MOREGARD,FAN-ZHENDONG,126.62866821289063,-304.704363377889,100,19103,,,,,
FAN-ZHENDONG,19560,19565,garcon,coup_droit,2,att/att,FAN-ZHENDONG,lat_droit,,m2,,,12.689420318603515,-71.15867001215616,2,FAN-ZHENDONG,TRULS-MOREGARD,-55.31287879943848,108.77057749430338,100,19560,-32.11786327362061,41.892299524943034,2,19561,
TRULS-MOREGARD,19566,19578,garcon,coup_droit,2,att/att,TRULS-MOREGARD,,defensif,d2,,poussette,75.06033554077149,46.872684478759766,2,TRULS-MOREGARD,FAN-ZHENDONG,27.775627899169923,-133.4825608273347,100,19568,,,,,
FAN-ZHENDONG,19579,19594,garcon,coup_droit,2,att/att,FAN-ZHENDONG,,intermediaire,d3,,topspin,-51.36673526763916,-108.8737022082011,2,FAN-ZHENDONG,TRULS-MOREGARD,113.43440093994141,114.94732933044433,100,19586,,,,,
TRULS-MOREGARD,19595,19610,garcon,coup_droit,2,att/att,serveur_point_contre,,intermediaire,d3,pt_gagne,topspin,61.990892028808595,100.48079465230306,2,TRULS-MOREGARD,FAN-ZHENDONG,-163.7245403289795,-296.68534660339355,100,19600,,,,,
FAN-ZHENDONG,20195,20240,garcon,coup_droit,2,att/att,FAN-ZHENDONG,lat_droit,,m2,,,13.6276424407959,-84.83923314412435,2,FAN-ZHENDONG,TRULS-MOREGARD,-75.03351787924767,71.31868120829265,100,20226,-37.56826648712158,67.57312749226888,2,20231,
TRULS-MOREGARD,20241,20254,garcon,revers,2,att/att,TRULS-MOREGARD,,defensif,m3,,poussette,0.17593612670898437,107.77512067159017,2,TRULS-MOREGARD,FAN-ZHENDONG,19.62354621887207,-112.49519182840983,100,20242,,,,,
FAN-ZHENDONG,20255,20268,garcon,coup_droit,2,att/att,FAN-ZHENDONG,,offensif,g3,,topspin,37.012064361572264,-95.23186909357706,2,FAN-ZHENDONG,TRULS-MOREGARD,-5.369255447387696,132.53066139221193,100,20262,,,,,
TRULS-MOREGARD,20269,20276,garcon,revers,2,att/att,TRULS-MOREGARD,,offensif,d3,,bloc,55.25074234008789,100.59864400227865,2,TRULS-MOREGARD,FAN-ZHENDONG,55.006675720214844,-241.61966730753582,100,20271,,,,,
FAN-ZHENDONG,20277,20290,garcon,coup_droit,2,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,FAN-ZHENDONG,TRULS-MOREGARD,68.34778594970703,243.21241912841796,100,20282,,,,,
TRULS-MOREGARD,20779,20786,garcon,coup_droit,2,att/att,TRULS-MOREGARD,lat_droit,,g1,,,-64.83557567596435,45.547075271606445,2,TRULS-MOREGARD,FAN-ZHENDONG,50.92277450561524,-275.27731971740724,100,20779,11.506508255004883,-98.60664593378702,2,20780,
FAN-ZHENDONG,20787,20800,garcon,revers,2,att/att,FAN-ZHENDONG,,defensif,m2,,poussette,3.634095001220703,-60.913707224528,2,FAN-ZHENDONG,TRULS-MOREGARD,-79.48814965486527,55.39983838399251,100,20790,,,,,
TRULS-MOREGARD,20801,20816,garcon,coup_droit,2,att/att,TRULS-MOREGARD,,defensif,m1,,poussette,-21.315418434143066,35.30127194722493,2,TRULS-MOREGARD,FAN-ZHENDONG,32.88658180236816,-186.89766302108765,100,20806,,,,,
